sitzung_id,sitzung_name,sitzung_date,sitzung_gremium,dokument_id,dokument_titel,dokument_kategorie,eDokument_id,eDokument_filename,version_nr,_filename
f923e125733d4013bf5d209759f2d803,71. KR Sitzung,2012-09-24,KR,4e4902d4eff84e87ad41c1876e0eef3e,"71. KR-Protokoll vom 24.9.2012, Nachmittag",Protokoll,4e4902d4eff84e87ad41c1876e0eef3e-332,"71. KR-Protokoll vom 24.9.2012, Nachmittag",1,2012-09-24-4e4902d4eff84e87ad41c1876e0eef3e-332.pdf
264eeabf89334d619736178c6611c10c,70. KR Sitzung,2012-09-24,KR,e3ab8ce87b49409f8a6cbf7c1c60b709,"70. KR-Protokoll vom 24.9.2012, Vormittag",Protokoll,e3ab8ce87b49409f8a6cbf7c1c60b709-332,"70. KR-Protokoll vom 24.9.2012, Vormittag",1,2012-09-24-e3ab8ce87b49409f8a6cbf7c1c60b709-332.pdf
9e1a585dac084df687be462ca91f7db5,72. KR Sitzung,2012-10-01,KR,cbcbcf87971742678c896202443ae571,72. KR-Protokoll vom 1.10.2012,Protokoll,cbcbcf87971742678c896202443ae571-332,72. KR-Protokoll vom 1.10.2012,1,2012-10-01-cbcbcf87971742678c896202443ae571-332.pdf
16fa9a31970848c0b2b498c3b477adf0,73. KR Sitzung,2012-10-22,KR,1807e851839e493b848ec902486142d4,73. KR-Protokoll vom 22.10.2012,Protokoll,1807e851839e493b848ec902486142d4-332,73. KR-Protokoll vom 22.10.2012,1,2012-10-22-1807e851839e493b848ec902486142d4-332.pdf
0638eb01fb9d41108d6efd71177ee84e,74. KR Sitzung,2012-10-29,KR,b7b425f5795a461c86291b28266ad3bd,"74. Protokoll vom 29. Oktober 2012, Vormittag",Protokoll,b7b425f5795a461c86291b28266ad3bd-332,"74. Protokoll vom 29. Oktober 2012, Vormittag",1,2012-10-29-b7b425f5795a461c86291b28266ad3bd-332.pdf
263bb1c0ff51424693c5620683c79636,75. KR Sitzung,2012-10-29,KR,c33100433cec40e7acfa463cf9f04c95,"75. KR-Protokoll vom 29.10.2012, Nachmittag",Protokoll,c33100433cec40e7acfa463cf9f04c95-332,"75. KR-Protokoll vom 29.10.2012, Nachmittag",1,2012-10-29-c33100433cec40e7acfa463cf9f04c95-332.pdf
83d4c3da7f6045e4beffb7a5ed765282,76. KR Sitzung,2012-11-05,KR,90a534f3650a40598641adf0c160c0ba,76. KR-Protokoll vom 05.11.2012,Protokoll,90a534f3650a40598641adf0c160c0ba-332,76. KR-Protokoll vom 05.11.2012,1,2012-11-05-90a534f3650a40598641adf0c160c0ba-332.pdf
6d5f1041656f4fc6b3a21188b03bcbda,77. KR Sitzung,2012-11-12,KR,7f4e99f6e77d44e2952b6adf48cd2e0e,77. KR-Protokoll vom 12.11.2012,Protokoll,7f4e99f6e77d44e2952b6adf48cd2e0e-332,77. KR-Protokoll vom 12.11.2012,1,2012-11-12-7f4e99f6e77d44e2952b6adf48cd2e0e-332.pdf
3470e2a18b6a4118a38a090cd3df64bf,78. KR Sitzung,2012-11-19,KR,f172f1c3abe242aeb60a84e161b74d5f,78. KR-Protokoll vom 19.11.2012,Protokoll,f172f1c3abe242aeb60a84e161b74d5f-332,78. KR-Protokoll vom 19.11.2012,1,2012-11-19-f172f1c3abe242aeb60a84e161b74d5f-332.pdf
203887bc25be410285b04a001dcbdfda,79. KR Sitzung,2012-11-26,KR,43b6fe9c62014e5bb793382f3348ef36,"79. KR-Protokoll vom 26.11.2012, Vormittag",Protokoll,43b6fe9c62014e5bb793382f3348ef36-332,"79. KR-Protokoll vom 26.11.2012, Vormittag",1,2012-11-26-43b6fe9c62014e5bb793382f3348ef36-332.pdf
e526f9d64e9d4e92a340dc908f23bb7e,80. KR Sitzung,2012-11-26,KR,aec5a82db2244d3d8fe9aae5177058e2,"80. KR-Protokoll vom 26.11.2012, Nachmittag",Protokoll,aec5a82db2244d3d8fe9aae5177058e2-332,"80. KR-Protokoll vom 26.11.2012, Nachmittag",1,2012-11-26-aec5a82db2244d3d8fe9aae5177058e2-332.pdf
208fd1d14c44404b9596cecb81adbe5b,81. KR Sitzung,2012-12-03,KR,beda1b27cdcf4820aa3d2af12c4380a7,81. KR-Protokoll vom 03.12.2012,Protokoll,beda1b27cdcf4820aa3d2af12c4380a7-332,81. KR-Protokoll vom 03.12.2012,1,2012-12-03-beda1b27cdcf4820aa3d2af12c4380a7-332.pdf
24b6329c28e041a983f92b3b9582617c,82. KR Sitzung,2012-12-10,KR,4d4bf56e9ef34cdf9ec4a8b66af148b0,82. KR-Protokoll vom 10.12.2012,Protokoll,4d4bf56e9ef34cdf9ec4a8b66af148b0-332,82. KR-Protokoll vom 10.12.2012,1,2012-12-10-4d4bf56e9ef34cdf9ec4a8b66af148b0-332.pdf
c7737434c7594463addf3e12e4216210,83. KR Sitzung,2012-12-10,KR,af83d96a0f454ae9aee15e1d54f0a012,"83. KR-Protokoll vom 10.12.2012, Nachmittag",Protokoll,af83d96a0f454ae9aee15e1d54f0a012-332,"83. KR-Protokoll vom 10.12.2012, Nachmittag",1,2012-12-10-af83d96a0f454ae9aee15e1d54f0a012-332.pdf
1bb311cdce064e39a3abd23250a4dcc8,85. KR Sitzung,2012-12-11,KR,2fa7b148c0154654b497a733a0f8ed3e,"85. KR-Protokoll vom 11.12.2012, Abend",Protokoll,2fa7b148c0154654b497a733a0f8ed3e-332,"85. KR-Protokoll vom 11.12.2012, Abend",1,2012-12-11-2fa7b148c0154654b497a733a0f8ed3e-332.pdf
b8756d0c62234311bea9799da8b6729b,84. KR Sitzung,2012-12-11,KR,ec2e261f471f4afe9e457b506dea16ba,"84. KR-Protokoll vom 11.12.2012, Nachmittag",Protokoll,ec2e261f471f4afe9e457b506dea16ba-332,"84. KR-Protokoll vom 11.12.2012, Nachmittag",1,2012-12-11-ec2e261f471f4afe9e457b506dea16ba-332.pdf
b7b907512454446a8a004b2eab9f360b,86. KR Sitzung,2012-12-17,KR,cc7734fd756340aa9ee7632d3c75f623,"86. KR-Protokoll vom 17.12.2012, Vormittag",Protokoll,cc7734fd756340aa9ee7632d3c75f623-332,"86. KR-Protokoll vom 17.12.2012, Vormittag",1,2012-12-17-cc7734fd756340aa9ee7632d3c75f623-332.pdf
162446ff79a24ac8a7f55306994249d6,87. KR Sitzung,2012-12-17,KR,05c1746c19644cdbb67912c687c0d1a9,"87. KR-Protokoll vom 17.12.2012, Nachmittag",Protokoll,05c1746c19644cdbb67912c687c0d1a9-332,"87. KR-Protokoll vom 17.12.2012, Nachmittag",1,2012-12-17-05c1746c19644cdbb67912c687c0d1a9-332.pdf
