session,m,w
2001,781,291
2002,2121,706
2003,1814,819
2004,1519,730
2005,1534,617
2006,1922,868
2007,2002,809
2008,2012,840
2009,1923,761
2010,1692,773
2011,2019,722
2012,2043,756
2013,2765,1034
2014,2194,769
2015,2147,785
2016,2082,813
2017,2037,804
2018,2282,896
2019,1808,901
2020,2084,1117
2021,860,525
