name,vorname,geschlecht,text
Amrein,Hans-Peter,m,83
Rueff-Frenkel,Sonja,w,28
Fischer,Benjamin,m,28
Bischoff,Markus,m,26
Habicher,Lorenz,m,23
Gehrig Schmidt,Sonja,w,23
Katumba,Andrew,m,22
Schmid,Lorenz,m,21
Marti,Sibylle,w,21
Bonato,Diego,m,20
Petri,Gabriele,w,1
Trost Vetter,Susanne,w,1
Wyss,Orlando,m,1
Glättli,Urs,m,1
Güller,Daniela,w,1
Columberg,Leandra,w,1
Mäder,Gabriel,m,1
Meier,Esther,w,1
Matter,Sylvie,w,1
Meier,Doris,w,1
