session,votes_per_m,votes_per_w
2001,12.5,11.7
2002,16.2,15.0
2003,15.4,15.0
2004,12.7,13.0
2005,12.9,11.0
2006,16.5,14.7
2007,16.9,14.2
2008,16.8,15.0
2009,16.2,13.6
2010,14.5,12.9
2011,17.4,12.3
2012,17.3,12.8
2013,23.2,17.8
2014,18.5,13.2
2015,18.5,13.8
2016,17.5,14.8
2017,17.6,14.8
2018,20.6,15.2
2019,18.0,12.9
2020,20.6,15.9
2021,15.7,12.6
